playerID,MVP,Gold_Glove,Cy_Young_Award,All_Star_Game,Batting_Seasons_Number,Batting_LastSeason,Batting_Games,Batting_At_Bats,Batting_Runs,Batting_Hits,Batting_Doubles,Batting_Triples,Batting_Homeruns,Batting_Runs_Batted_In,Batting_Stolen_Bases,Batting_Caught_Steading,Batting_Base_on_Balls,Batting_Intentional_walks,Batting_Hit_by_pitch,Batting_Sacrifice_hits,Batting_Grounded_into_double_plays,Pitching_Wins,Pitching_Games,Pitching_Shutouts,Pitching_Saves,Pitching_Outs_Pitched,Pitching_Earned_Runs,Pitching_Strikeouts,Pitching_ERA,Pitching_HBP,Pitching_BK,Pitching_BFP,Pitching_GF,Pitching_R,inducted
grichbo01,0,4,0,6,17,1986,2008,6890,1033,1833,320,47,224,864,104,83,1087,50,86,107,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
griffcl01,0,0,0,NULL,21,1914,485,1380,202,321,49,17,8,166,22,1,166,0,7,27,0,237,453,22,6,10157,1246,955,69.58000040054321,102,3,1366,78,1852,Y
griffke01,0,0,0,2,19,1991,2097,7229,1129,2143,364,77,152,859,200,83,719,51,14,31,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
griffke02,1,10,0,9,22,2010,2671,9801,1662,2781,524,38,630,1836,184,69,1312,246,81,8,199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
grimebu01,0,0,0,NULL,19,1934,632,1535,157,380,62,11,2,168,15,4,69,0,5,76,1,270,616,35,18,12540,1638,1512,90.92000007629395,97,12,17959,94,2048,Y
grimmch01,0,0,0,NULL,20,1936,2166,7917,908,2299,394,108,79,1078,57,44,578,0,31,219,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
grimsro02,0,0,0,0,11,1982,346,353,21,45,4,0,0,15,0,0,6,0,1,39,5,124,345,15,3,6118,863,750,51.609999895095825,15,9,8544,17,947,N
grissma01,0,0,0,1,10,1959,356,189,9,23,7,0,0,6,0,0,8,0,1,15,4,47,356,3,58,2430,307,459,59.06999969482422,28,1,3484,176,358,N
grissma02,0,4,0,2,17,2005,2165,8275,1187,2251,386,56,227,967,429,116,553,44,31,38,171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
groatdi01,1,0,0,8,14,1967,1929,7484,829,2138,352,67,39,707,14,27,490,39,31,122,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
